封面链接,收费情况,追番人数,播放状态,番剧名,番剧链接
http://i0.hdslb.com/bfs/bangumi/c897c607f6d2e40a18cb9656aed48ea26c252721.jpg,,317.6万追番,全12话,笨女孩,https://www.bilibili.com/bangumi/play/ss6311
http://i0.hdslb.com/bfs/bangumi/3944fe0b84a5763cde6b0573773b89ba86b4321d.jpg,,317.3万追番,全22话,Re：创造主,https://www.bilibili.com/bangumi/play/ss5998
http://i0.hdslb.com/bfs/bangumi/46a9b18f6f7b08e30a781cf1b44594f1fb2c9e64.jpg,,311.6万追番,全13话,Fate/Zero 第一季,https://www.bilibili.com/bangumi/play/ss1650
http://i0.hdslb.com/bfs/bangumi/image/0318e1b5349c7c3714846723f6b64a50dc0b49ac.png,会员专享,310.7万追番,全12话,地缚少年花子君,https://www.bilibili.com/bangumi/play/ss29342
http://i0.hdslb.com/bfs/bangumi/7bf8baf33c1ecd4a7fea91e81d0143aabe1e1b7c.jpg,,307万追番,全24话,樱花庄的宠物女孩,https://www.bilibili.com/bangumi/play/ss687
http://i0.hdslb.com/bfs/bangumi/92824bc6a8c7aabbf494c0b276d4aa7b70842976.jpg,会员专享,302.8万追番,全12话,境界的彼方,https://www.bilibili.com/bangumi/play/ss3365
http://i0.hdslb.com/bfs/bangumi/f24f032372642f35257f66478ccfa51800b504a8.jpg,,301.4万追番,全13话,卫宫家今天的饭,https://www.bilibili.com/bangumi/play/ss22504
http://i0.hdslb.com/bfs/bangumi/a57b2da42518f7f496a75fd4cccae781c5346df7.jpg,会员专享,298.3万追番,全13话,中二病也要谈恋爱！,https://www.bilibili.com/bangumi/play/ss4340
http://i0.hdslb.com/bfs/bangumi/aff0dc6ea840c746c6401a08bf7aadc4bf8c5078.jpg,会员专享,296.6万追剧,2019-07-19上映,游戏人生 零,https://www.bilibili.com/bangumi/play/ss28381?theme=movie
http://i0.hdslb.com/bfs/bangumi/85ecf86a69c6f337ec7762922471eaf63020b26f.jpg,,290万追番,全24话,魔法禁书目录 第一季,https://www.bilibili.com/bangumi/play/ss963
http://i0.hdslb.com/bfs/bangumi/a92892921f3209f7784a954c37467c9869a1d4c1.png,会员专享,284.3万追番,全26话,魔法禁书目录 第三季,https://www.bilibili.com/bangumi/play/ss25617
http://i0.hdslb.com/bfs/bangumi/9585f07662bfc460d157fa431543aa98f6f3a9be.png,会员专享,282.9万追番,全12话,动物狂想曲 / BEASTARS,https://www.bilibili.com/bangumi/play/ss28542
http://i0.hdslb.com/bfs/bangumi/146b2d991c87c333553d2b7b6e15f009f9359517.jpg,会员专享,282.7万追番,全12话,宝石之国,https://www.bilibili.com/bangumi/play/ss6434
http://i0.hdslb.com/bfs/bangumi/16e8f574911bc1c2fc7b4fe2e2b8fa4fe04e1c13.jpg,,280.3万追番,全12话,月刊少女野崎君,https://www.bilibili.com/bangumi/play/ss53
http://i0.hdslb.com/bfs/bangumi/image/93e0aaf760327bbf074aff33f6ea3adf2c84ab5c.jpg,,280万追番,全22话,罪恶王冠,https://www.bilibili.com/bangumi/play/ss1588
http://i0.hdslb.com/bfs/bangumi/65f89e0a0d050ff987159829fcf565faae199d08.png,会员专享,276.1万追番,全12话,约定的梦幻岛,https://www.bilibili.com/bangumi/play/ss26281
http://i0.hdslb.com/bfs/bangumi/e1015a803ad97406f9eddfbc6ad608cc965f8b05.png,会员专享,275.6万追番,全13话,天使降临到我身边,https://www.bilibili.com/bangumi/play/ss26291
http://i0.hdslb.com/bfs/bangumi/07245c4bf4acb03a5819762fea3210c656aba66c.jpg,,275.4万追番,全22话,魔卡少女樱 CLEAR CARD篇,https://www.bilibili.com/bangumi/play/ss21421
http://i0.hdslb.com/bfs/bangumi/5ce66f68d54052e3a305524b9b06a76977e974fc.jpg,会员专享,275.1万追番,全12话,月色真美,https://www.bilibili.com/bangumi/play/ss5989
http://i0.hdslb.com/bfs/bangumi/e2b46584e29f2349748b48c5fb26ce02fcbca4e8.jpg,会员专享,274万追番,全12话,路人超能100(灵能百分百),https://www.bilibili.com/bangumi/play/ss5058
http://i0.hdslb.com/bfs/bangumi/ce55ba2772db23fcf816ac7f82afc2f6eb2c26c9.png,会员专享,268.7万追番,全14话,平凡职业造就世界最强,https://www.bilibili.com/bangumi/play/ss27995
http://i0.hdslb.com/bfs/bangumi/140bacf044bb0c0841bd1f0e4fc682d037f73f88.jpg,付费观看,267.1万追番,全13话,Fate/EXTRA Last Encore,https://www.bilibili.com/bangumi/play/ss21464
http://i0.hdslb.com/bfs/bangumi/image/d8a6884c2f839a5ffe5a0637608eec7910763411.png,会员专享,267.1万追番,全13话,公主连结Re:Dive,https://www.bilibili.com/bangumi/play/ss32963
http://i0.hdslb.com/bfs/bangumi/image/942d7b582025b1abcb1ee6e797407d4314867b02.png,会员专享,265.4万追番,全12话,转生成为了只有乙女游戏破灭Flag的邪恶大小姐,https://www.bilibili.com/bangumi/play/ss33055
http://i0.hdslb.com/bfs/bangumi/3e688cd89f778968bdf6f6d9ca6f3d20b76f04ea.jpg,,263.7万追番,全13话,可塑性记忆,https://www.bilibili.com/bangumi/play/ss1552
http://i0.hdslb.com/bfs/bangumi/6603936f61460f284c153b5fbdf2a8f6b2acb34c.jpg,,263.1万追番,全12话,甲铁城的卡巴内瑞,https://www.bilibili.com/bangumi/play/ss3494
http://i0.hdslb.com/bfs/bangumi/image/ae05a72b11d7f409bbff9475afb13dfca081ffd1.jpg,会员专享,262.9万追番,全24话,Ｄｒ．ＳＴＯＮＥ 石纪元,https://www.bilibili.com/bangumi/play/ss27993
http://i0.hdslb.com/bfs/bangumi/268f225ab92f4359bde36adbc0a76d6cf8bc5d4b.jpg,,262.7万追番,全13话,我的青春恋爱物语果然有问题。续,https://www.bilibili.com/bangumi/play/ss1540
http://i0.hdslb.com/bfs/bangumi/bdcab81683bf4f048de4fa4fe0754c3650e93fea.jpg,,261万追番,全12话,如果能写小说就好了,https://www.bilibili.com/bangumi/play/ss6440
http://i0.hdslb.com/bfs/bangumi/7b9a5a6e6c5ca157a4c18b01093a7bb1701f4606.jpg,,257.9万追番,全12话,珈百璃的堕落,https://www.bilibili.com/bangumi/play/ss5793
http://i0.hdslb.com/bfs/bangumi/ade6781efe9cdfd7e40cba2d6e34381287efa634.jpg,会员专享,254.8万追番,全12话,某科学的一方通行,https://www.bilibili.com/bangumi/play/ss28002
http://i0.hdslb.com/bfs/bangumi/152c536f8ecaad8f3d7d568d33da81c963a4a722.png,,254.6万追番,全12话,超能力女儿,https://www.bilibili.com/bangumi/play/ss23850
http://i0.hdslb.com/bfs/bangumi/745b04054e591da4f4172923a7d51de3dddb4288.jpg,会员专享,253.4万追番,全11话,阿宅的恋爱真难,https://www.bilibili.com/bangumi/play/ss23856
http://i0.hdslb.com/bfs/bangumi/7c9002f893f1a9debde1c38b860d64ef31c20d03.png,会员专享,253.4万追番,全12话,碧蓝之海,https://www.bilibili.com/bangumi/play/ss24581
http://i0.hdslb.com/bfs/bangumi/dd75beeae2b4c2753c03ccf36b51798dfbd577c2.jpg,,248.6万追番,全12话,终结的炽天使,https://www.bilibili.com/bangumi/play/ss1555
http://i0.hdslb.com/bfs/bangumi/4e7a26393e211dffdebf5a668c0faf71b533b13d.jpg,,248.3万追番,全23话,CLANNAD,https://www.bilibili.com/bangumi/play/ss1177
http://i0.hdslb.com/bfs/bangumi/216e1bdaf88244215a13b1154116805ee9adbe07.png,会员专享,248.2万追番,全13话,路人超能100 II(灵能百分百 第二季),https://www.bilibili.com/bangumi/play/ss26297
http://i0.hdslb.com/bfs/bangumi/d3ce7564ddf58b2f7245b104fb578a5655e55168.jpg,会员专享,248.2万追番,全13话,夏目友人帐,https://www.bilibili.com/bangumi/play/ss1660
http://i0.hdslb.com/bfs/bangumi/f1146494f45cc2c4a3fa0d081c5ecf4bc3147442.jpg,会员专享,246.3万追番,全12话,野良神,https://www.bilibili.com/bangumi/play/ss2731
http://i0.hdslb.com/bfs/bangumi/fcdb9db0cc3f5c0c3aaa4ca1a9ddea6c121db471.jpg,,245.5万追番,全25话,刀剑神域,https://www.bilibili.com/bangumi/play/ss4452
http://i0.hdslb.com/bfs/bangumi/image/33680a2209c4dba76322b2ffeeaf3dd821db576c.png,会员专享,245.4万追剧,2019-11-01上映,天气之子,https://www.bilibili.com/bangumi/play/ss33343?theme=movie
http://i0.hdslb.com/bfs/bangumi/2673ac643b48eb5bda64c960a2ca850fbebb839d.jpg,会员专享,239.9万追番,全11话,夏目友人帐 伍,https://www.bilibili.com/bangumi/play/ss5550
http://i0.hdslb.com/bfs/bangumi/b1a70dca34c06545c36d7e5f29155c8c8817e36e.jpg,,236.9万追番,全13话,Fate/stay night [Unlimited Blade Works] 第二季,https://www.bilibili.com/bangumi/play/ss1587
http://i0.hdslb.com/bfs/bangumi/36b93d65479f702b82f4f1fb9ace752b8b25f420.jpg,,233.8万追番,全12话,线上游戏的队友不可能是女生？,https://www.bilibili.com/bangumi/play/ss3495
http://i0.hdslb.com/bfs/bangumi/a48979a3e3196fc33df796132072c0bd171f4918.jpg,,232.9万追番,全24话,食戟之灵,https://www.bilibili.com/bangumi/play/ss1559
http://i0.hdslb.com/bfs/bangumi/956d61c245c5ac99ac8063f92402ce9c89243475.png,会员专享,232.4万追番,全12话,文豪野犬 第三季,https://www.bilibili.com/bangumi/play/ss26769
http://i0.hdslb.com/bfs/bangumi/image/044eaa60080e172cef2f29e05ffad3fe8b65c86b.jpg,会员抢先,231.7万追番,更新至第7话,炎炎消防队 贰之章,https://www.bilibili.com/bangumi/play/ss33805
http://i0.hdslb.com/bfs/bangumi/fd61c0a8680678960446a849f2079e0de09d4290.png,会员专享,227万追番,全12话,约会大作战 第三季,https://www.bilibili.com/bangumi/play/ss26308
http://i0.hdslb.com/bfs/bangumi/3004faf93cb5a78aa4d2122e25d914ec8640a273.jpg,,225.7万追番,全12话,男子高中生的日常,https://www.bilibili.com/bangumi/play/ss2680
